"","tiss","model_type","parameter","mean","SE","CI.high","CI.low"
"8","leaf","asymp","Asym",1226.43150460751,1.47143439971984,1229.31551603096,1223.54749318406
"24","seed","asymp","Asym",1276.09352949228,3.03428732870165,1282.04073265653,1270.14632632802
"40","unripe","asymp","Asym",1311.83615453541,2.0058491555253,1315.76761888024,1307.90469019058
"56","ripe","asymp","Asym",1311.30477536954,2.65293597478161,1316.50452988011,1306.10502085896
