date,extraction #,sp,sample_code,tissue,vial wt (g) ,sample wt (mg),end wt (g),net wt (marc) (mg),extract wt (mg),
12/21/2017,24,biolleyi,#10 30/6/09,ripe,13.4582,51.36,13.49134,33.14,18.22,
12/21/2017,25,biolleyi,#4 14/8/09,ripe,13.35297,51.1,13.39883,45.86,5.24,
1/4/2018,70,biolleyi,#8 11/7/09,ripe,0.43296,49.74,0.47521,42.25,7.49,
4/27/2018,128,biolleyi,#4 14/8/09,ripe seed,13.4431,tube shattered in fast prep; added 40mg more sample,13.4539,n/a,10.8,
4/27/2018,129,biolleyi,#8 11/7/09,ripe seed,1.5108,49.41,1.5506,39.8,9.61,
4/27/2018,130,biolleyi,#10 30/6/09,ripe seed,1.5432,52,1.5898,46.6,5.4,
12/21/2017,21,biolleyi,#4 14/8/09,unripe,13.34083,50.5,13.35481,13.98,36.52,
12/21/2017,22,biolleyi,#8 11/7/09,unripe,13.27985,50.85,13.30253,22.68,28.17,
12/21/2017,23,biolleyi,#10 30/6/09,unripe,13.30181,51.49,13.32344,21.63,29.86,
1/9/2018,107,colonense,#3 18/6/09,leaf,0.35071,49.58,0.36326,12.55,37.03,
1/9/2018,108,colonense,#8 18/6/09,leaf,0.34212,50.46,0.35578,13.66,36.8,
1/9/2018,109,colonense,#11 22/11/09,leaf,0.39589,49.92,0.41066,14.77,35.15,
12/21/2017,27,colonense,#8 18/6/09,ripe,13.30892,49.98,13.34557,36.65,13.33,
12/21/2017,28,colonense,#11 22/11/09,ripe,13.35667,51.13,13.38213,25.46,25.67,
12/21/2017,29,colonense,#12 22/11/09,ripe,13.46504,50.3,13.47886,13.82,36.48,
1/4/2018,72,colonense,#3 18/6/09,ripe,0.38232,51.32,0.41177,29.45,21.87,
4/27/2018,131,colonense,#3 18/6/09,ripe seed,1.5142,49.84,1.5574,43.2,6.64,
4/27/2018,132,colonense,#8 18/6/09,ripe seed,1.5082,50.2,1.5507,42.5,7.7,
4/27/2018,133,colonense,#11 22/11/09,ripe seed,1.5137,49.81,1.5594,45.7,4.11,
12/21/2017,26,colonense,#8 18/6/09,unripe,13.37627,51.53,13.39076,14.49,37.04,
1/4/2018,71,colonense,#11 22/11/09,unripe,0.32328,50.37,0.33423,10.95,39.42,
1/4/2018,73,colonense,#3 18/6/09,unripe,0.2725,50.11,0.28314,10.64,39.47,
1/9/2018,110,generalense,#3 22/11/09,leaf,0.36832,51.23,0.38084,12.52,38.71,
1/9/2018,111,generalense,SSO570,leaf,0.37844,51.01,0.39733,18.89,32.12,
1/9/2018,112,generalense,SSO630,leaf,0.44034,50.43,0.45941,19.07,31.36,
12/21/2017,33,generalense,#3 22/11/09,ripe,13.44636,48.19,13.47865,32.29,15.9,
12/21/2017,34,generalense,SSO570,ripe,13.41172,33.27,13.43394,22.22,11.05,
12/21/2017,35,generalense,SSO630,ripe,13.38671,50.22,13.40528,18.57,31.65,
4/27/2018,134,generalense,SSO570,ripe seed,1.4977,49.5,1.5427,45,4.5,
4/27/2018,135,generalense,SSO630,ripe seed,1.5109,50.23,1.5587,47.8,2.43,
4/27/2018,136,generalense,#3 22/11/09,ripe seed,1.5197,47.75,1.5648,45.1,2.65,
12/21/2017,30,generalense,#3 22/11/09,unripe,13.49441,49.86,13.51351,19.1,30.76,
12/21/2017,31,generalense,SSO570,unripe,13.38737,50.46,13.41009,22.72,27.74,
12/21/2017,32,generalense,SSO630,unripe,13.40314,47.88,13.43833,35.19,12.69,
1/9/2018,113,glabrescens,#1,leaf,0.36745,49.79,0.38063,13.18,36.61,
1/9/2018,114,glabrescens,#1b ,leaf,0.35665,51.25,0.36942,12.77,38.48,
1/9/2018,115,glabrescens,#2 11/6/09,leaf,0.39229,50.56,0.41147,19.18,31.38,
12/21/2017,39,glabrescens,#1,ripe,13.3782,49.5,13.41318,34.98,14.52,
12/21/2017,40,glabrescens,#1b ,ripe,13.32381,49.36,13.36169,37.88,11.48,
12/21/2017,41,glabrescens,#2 11/6/09,ripe,13.26802,49.28,13.30184,33.82,15.46,
