"","tiss","model_type","parameter","mean","SE","CI.high","CI.low"
"1","leaf","asymp","Asym",1224.07026596408,1.02372315175153,1226.07676334151,1222.06376858665
"4","seed","asymp","Asym",1274.64447627345,2.09426159103897,1278.74922899189,1270.53972355502
"7","unripe","asymp","Asym",1314.13840050726,1.41197535568401,1316.9058722044,1311.37092881012
"10","ripe","asymp","Asym",1308.68009906811,1.61753780860668,1311.85047317298,1305.50972496324
