"","tissue","Fstat","P","prop.var.sp","prop.var.resid"
"1","leaf",6.29377321307799,0.001,0.742576289941015,0.257423710058985
"2","seed",5.16575101963652,0.001,0.703055783212465,0.296944216787535
"3","unripe",12.4641393463296,0.001,0.856344752137028,0.143655247862972
"4","ripe",13.1819904823605,0.001,0.857989758300936,0.142010241699064
"5","leaf",4.50534243073792,0.001,0.673730255899416,0.326269744100584
"6","seed",6.58020637976052,0.001,0.750991546932497,0.249008453067503
"7","unripe",7.90372589423702,0.001,0.790796853110036,0.209203146889963
"8","ripe",10.6951107178521,0.001,0.830563778147905,0.169436221852095
