"","CLUSTERID1","CLUSTERID2","DeltaMZ","MEH","Cosine","OtherScore","ComponentIndex"
"113","9352","11367",-160.103,0,0.690833,0.5172,1
"114","3796","10802",-243.131,0,0.76618,0.51699,1
"115","2378","11992",-451.03,0,0.849161,0.636497,1
"116","2780","8786",-179.085,0,0.758274,0.552215,1
"117","3697","8492",-124.019,0,0.769707,0.572076,1
"118","3431","8849",-152.073,0,0.726544,0.530943,1
"119","1086","1194",-4.117,0,0.619793,0.518799,1
"120","6823","8168",-29.035,0,0.668122,0.444514,1
"121","6135","8168",-43.143,0,0.72741,0.439948,1
"122","8849","10064",-55.977,0,0.672204,0.419754,1
"123","7315","8628",-34.947,0,0.742261,0.542852,1
"124","3431","5918",-79.923,0,0.736976,0.479478,1
"125","5730","8786",-76.139,0,0.772329,0.58221,1
"126","2378","3688",-55.989,0,0.792274,0.572483,1
"127","3419","8359",-134.971,0,0.639525,0.474394,1
"128","8786","8849",-1.95102,0,0.719071,0.529086,1
"129","3699","10064",-196.034,0,0.64377,0.414929,1
"130","6968","11133",-196.113,0,0.690611,0.478334,1
"131","3796","11295",-308.051,0,0.753066,0.482166,1
"132","5322","6371",-28.975,0,0.634108,0.475149,1
"133","1863","11385",-387.111,0,0.65946,0.435128,1
"134","6252","8218",-44.025,0,0.637271,0.458564,1
"135","46","11133",-400.18,0,0.786971,0.59597,1
"136","2000","5333",-109.989,0,0.623333,0.419909,1
"137","3229","3656",-16.999,0,0.722453,0.546438,1
"138","1863","11010",-328.153,0,0.734354,0.513434,1
"139","2364","3782",-59.006,0,0.731696,0.493447,1
"140","3494","11660",-362.37,0,0.876828,0.742413,1
"141","6548","7621",-24.063,0,0.785034,0.635425,1
"142","8998","11367",-171.136,0,0.628984,0.458664,1
"143","9380","12599",-503.14,0,0.716463,0.490455,1
"144","8786","11142",-144.05,0,0.861395,0.687705,1
"145","3796","5756",-61.076,0,0.606184,0.436937,1
"146","6968","8359",-36.017,0,0.829826,0.607309,1
"147","3796","11494",-338.064,0,0.775041,0.549974,1
"148","6135","9784",-110.086,0,0.618729,0.596497,1
"149","2780","5469",-92.913,0,0.810202,0.579889,1
"150","8337","9786",-59.929,0,0.655748,0.514423,1
"151","3688","11992",-395.041,0,0.79344,0.592691,1
"152","8889","12378",-360.07,0,0.637368,0.424933,1
"153","7649","12067",-0.00128174,0,0.797565,0.70955,1
"154","3431","11367",-331.167,0,0.69254,0.442551,1
"155","3796","10521",-222.007,0,0.695706,0.452385,1
"156","7605","8359",-19.976,0,0.641332,0.511049,1
"157","11402","11992",-69.952,0,0.809364,0.630164,1
"158","1863","3431",-52.984,0,0.682184,0.457415,1
"159","7315","11686",-259.673,0,0.846488,0.675366,1
"160","9057","9762",-28.998,0,0.681639,0.605049,1
"161","10176","11367",-111.107,0,0.748344,0.513846,1
"162","368","6135",-176.004,0,0.679168,0.406532,1
"163","5730","7167",-28.039,0,0.691375,0.429115,1
"164","1863","11494",-405.079,0,0.756893,0.576791,1
"165","33","368",-24.05,0,0.75074,0.539406,1
"166","10176","12094",-201.977,0,0.737616,0.49978,1
"167","1863","3656",-61.975,0,0.848911,0.667992,1
"168","10033","12412",-326.128,0,0.609495,0.420982,1
"169","1086","7675",-497.272,0,0.720873,0.58694,1
"170","2378","10521",-280.997,0,0.746251,0.545594,1
"171","8399","12067",-285.123,0,0.601347,0.42779,1
"172","10802","11255",-55.972,0,0.765758,0.555186,1
"173","10802","11250",-55.019,0,0.721107,0.471259,1
"174","1086","8633",-551.19,0,0.825462,0.645152,1
"175","9057","12412",-370.116,0,0.787371,0.634877,1
"176","2356","11010",-322.142,0,0.822519,0.590525,1
"177","1194","2378",-27.994,0,0.873638,0.716131,1
