CLUSTERID1,CLUSTERID2,DeltaMZ,MEH,Cosine,OtherScore,ComponentIndex
383,3693,-104.074,0,0.807107,0.55471,6
383,3919,-113.027,0,0.639615,0.451915,6
383,4228,-117.027,0,0.854393,0.591292,6
383,4477,-125.027,0,0.810234,0.576532,6
383,4522,-127.042,0,0.883847,0.724761,6
383,4556,-129.058,0,0.727222,0.439574,6
383,4987,-143.037,0,0.800708,0.597939,6
383,5443,-155.037,0,0.865374,0.677269,6
383,5462,-156.041,0,0.890812,0.651564,6
383,5490,-157.053,0,0.841165,0.645028,6
383,5526,-158.056,0,0.842348,0.592297,6
383,6331,-178.075,0,0.864855,0.58722,6
383,6592,-185.048,0,0.882098,0.67689,6
383,6620,-186.051,0,0.840783,0.62164,6
383,6673,-187.063,0,0.830249,0.619431,6
383,8375,-226.11,0,0.838239,0.660894,6
383,8420,-227.114,0,0.840243,0.65751,6
383,8442,-228.125,0,0.794653,0.531224,6
383,8507,-229.13,0,0.666862,0.402755,6
383,8932,-248.095,0,0.714991,0.538142,6
383,8968,-250.108,0,0.747123,0.460724,6
383,9191,-256.121,0,0.835021,0.640132,6
383,9209,-257.124,0,0.833074,0.609184,6
383,9249,-258.127,0,0.832198,0.640215,6
383,9548,-278.103,0,0.753317,0.619201,6
383,12264,-571.244,0,0.651503,0.443953,6
383,12282,-579.274,0,0.908873,0.632721,6
383,12291,-581.29,0,0.723093,0.437157,6
383,12355,-601.254,0,0.908861,0.609327,6
383,12384,-609.284,0,0.874293,0.68864,6
383,12390,-610.289,0,0.860507,0.616434,6
383,12427,-631.266,0,0.737409,0.486553,6
402,817,-14.016,0,0.889273,0.624926,4
402,879,-15.995,0,0.899048,0.633429,4
402,1348,-25.086,0,0.830895,0.59364,4
402,1411,-25.112,0,0.654814,0.407116,4
402,1454,-26.991,0,0.830595,0.522154,4
402,1564,-30.982,0,0.86981,0.606119,4
402,2002,-42.019,0,0.842446,0.522825,4
402,2139,-43.99,0,0.879498,0.57926,4
402,2594,-60.059,0,0.77296,0.46565,4
402,2793,-66.021,0,0.70901,0.415789,4
402,2931,-71.117,0,0.704368,0.497627,4
402,2942,-72.127,0,0.792576,0.53232,4
402,3160,-84.993,0,0.850318,0.591122,4
402,4632,-131.172,0,0.848708,0.590357,4
402,5031,-143.915,0,0.746581,0.421978,4
402,5234,-148.894,0,0.766241,0.439589,4
402,5419,-155.004,0,0.790914,0.475562,4
402,8469,-229.109,0,0.746771,0.572305,4
402,9608,-661.432,0,0.831682,0.519075,4
402,12239,-565.485,0,0.741318,0.540255,4
402,12247,-566.488,0,0.739042,0.506365,4
402,12249,-566.489,0,0.888799,0.624891,4
402,12257,-567.49,0,0.701391,0.521209,4
402,12258,-567.489,0,0.734759,0.409425,4
402,12318,-587.466,0,0.600607,0.418725,4
402,12391,-610.543,0,0.898067,0.677097,4
478,2306,-43.993,0,0.856423,0.550872,6
478,6579,-184.641,0,0.868235,0.565712,6
478,11655,-458.335,0,0.921588,0.663318,6
478,11697,-459.337,0,0.910045,0.632545,6
556,556,0,1,1,1,-1
571,571,0,1,1,1,-1
600,600,0,1,1,1,-1
615,615,0,1,1,1,-1
618,618,0,1,1,1,-1
655,655,0,1,1,1,-1
662,662,0,1,1,1,-1
701,701,0,1,1,1,-1
738,738,0,1,1,1,-1
755,755,0,1,1,1,-1
775,1064,-10.915,0,0.863133,0.492337,6
775,2092,-38.015,0,0.662777,0.416784,6
775,2250,-38.912,0,0.793502,0.412555,6
775,2441,-48,0,0.97684,0.882922,6
775,2468,-49.007,0,0.65779,0.40084,6
775,3475,-90.887,0,0.664115,0.451314,6
775,3594,-94,0,0.664309,0.417544,6
775,5390,-148.013,0,0.706688,0.437046,6
775,7645,-202.564,0,0.869289,0.487234,6
775,11649,-453.254,0,0.891736,0.51363,6
775,11691,-454.257,0,0.894052,0.528862,6
778,856,-8.778,0,0.673147,0.404941,1
778,1086,-9.85,0,0.668365,0.572975,1
778,1334,-18.804,0,0.624206,0.492195,1
778,1863,-33.936,0,0.877453,0.6816,1
778,2000,-34.938,0,0.778809,0.527284,1
778,2300,-37.847,0,0.609867,0.455722,1
778,2356,-39.947,0,0.821041,0.602296,1
778,2364,-40.929,0,0.721954,0.459042,1
778,2780,-57.957,0,0.824006,0.633803,1
778,2786,-58.947,0,0.798086,0.591261,1
778,3110,-75.967,0,0.824253,0.672759,1
778,3229,-78.912,0,0.623632,0.484168,1
778,3431,-86.92,0,0.694736,0.436564,1
778,3494,-89.821,0,0.6262,0.515739,1
778,3656,-95.911,0,0.817561,0.629851,1
778,3688,-97.95,0,0.769847,0.531894,1
778,3697,-98.972,0,0.896265,0.722826,1
778,3699,-98.936,0,0.82102,0.602349,1
778,3782,-99.935,0,0.804595,0.568974,1
778,3796,-100.951,0,0.840273,0.639409,1
778,3942,-108.731,0,0.744814,0.545004,1
778,4303,-113.924,0,0.774099,0.537692,1
778,4310,-114.908,0,0.923724,0.76363,1
778,4537,-122.976,0,0.636445,0.472256,1
778,4818,-128.943,0,0.72561,0.486659,1
778,5322,-143.994,0,0.810587,0.660456,1
778,5333,-144.927,0,0.754704,0.517496,1
778,5469,-150.87,0,0.866891,0.657734,1
778,5716,-159.956,0,0.678378,0.439726,1
778,5730,-160.903,0,0.709789,0.424513,1
778,5756,-162.027,0,0.711277,0.559127,1
778,5918,-166.843,0,0.875147,0.669556,1
778,6135,-168.875,0,0.846172,0.632621,1
778,6252,-171.008,0,0.609713,0.480724,1
778,6371,-172.969,0,0.827931,0.619362,1
778,6548,-176.953,0,0.825596,0.643928,1
778,6573,-178.495,0,0.611509,0.490574,1
778,6823,-182.983,0,0.682925,0.535266,1
778,6968,-183.993,0,0.741685,0.508784,1
778,7167,-188.942,0,0.886203,0.696963,1
778,7605,-200.034,0,0.641104,0.522893,1
778,7722,-203.015,0,0.610635,0.413484,1
778,8168,-212.018,0,0.758207,0.519631,1
778,8218,-215.033,0,0.743061,0.479331,1
778,8337,-219.029,0,0.734612,0.488098,1
778,8359,-220.01,0,0.789843,0.566911,1
778,8399,-220.99,0,0.905986,0.716564,1
778,8492,-222.991,0,0.666537,0.532812,1
778,8786,-237.042,0,0.663879,0.438271,1
778,8807,-238.021,0,0.80771,0.600977,1
778,8849,-238.993,0,0.806453,0.644677,1
778,8889,-241.002,0,0.680173,0.44138,1
778,8998,-246.951,0,0.779112,0.588661,1
778,9057,-248.966,0,0.841793,0.691305,1
778,9235,-251.95,0,0.645089,0.479906,1
778,9336,-256.026,0,0.681262,0.490918,1
778,9343,-256.987,0,0.635691,0.444588,1
778,9352,-257.984,0,0.664901,0.51136,1
778,9409,-260.986,0,0.846026,0.674678,1
778,9434,-261.991,0,0.60696,0.528583,1
778,9762,-277.964,0,0.660457,0.572657,1
778,9784,-278.961,0,0.735832,0.638164,1
778,9786,-278.958,0,0.610529,0.450745,1
778,10033,-292.954,0,0.629918,0.484258,1
778,10176,-306.98,0,0.745724,0.484487,1
778,10521,-322.958,0,0.719424,0.468212,1
778,10685,-335.021,0,0.664399,0.468072,1
778,10802,-344.082,0,0.724833,0.463843,1
778,10863,-350.995,0,0.778083,0.552086,1
778,11010,-362.089,0,0.724391,0.517739,1
778,11015,-363.074,0,0.733371,0.492786,1
778,11295,-409.002,0,0.794761,0.533311,1
778,11367,-418.087,0,0.817218,0.652068,1
778,11402,-423.039,0,0.910764,0.724496,1
778,11494,-439.015,0,0.852714,0.667953,1
778,11495,-439.012,0,0.676157,0.461253,1
778,11534,-440.02,0,0.796058,0.582994,1
778,11992,-492.991,0,0.843287,0.657916,1
778,12067,-506.113,0,0.652335,0.542224,1
778,12094,-508.957,0,0.881127,0.695305,1
778,12332,-585.091,0,0.640807,0.428384,1
778,12378,-601.072,0,0.755176,0.554496,1
779,1142,-10.021,0,0.617502,0.481894,6
779,1163,-12.036,0,0.691318,0.450441,6
779,1187,-13.031,0,0.668263,0.536259,6
779,2398,-42.046,0,0.722899,0.581628,6
779,2399,-42.047,0,0.756085,0.587647,6
779,2412,-44.479,0,0.725366,0.521341,6
779,2415,-45.497,0,0.757601,0.575399,6
779,2416,-45.497,0,0.664081,0.542833,6
779,2490,-50.016,0,0.809495,0.66624,6
779,2492,-50.015,0,0.719015,0.508457,6
779,2925,-63.047,0,0.790399,0.7212,6
779,2938,-64.992,0,0.622039,0.51101,6
779,2974,-66.01,0,0.682765,0.707404,6
779,2976,-67.013,0,0.600493,0.417233,6
779,2985,-69.077,0,0.65878,0.470899,6
779,2999,-70.042,0,0.693771,0.684286,6
779,3019,-71.045,0,0.620023,0.516976,6
779,3294,-80.026,0,0.676402,0.612666,6
779,3685,-97.241,0,0.630509,0.452584,6
779,3696,-98.002,0,0.710627,0.713523,6
779,3781,-99.074,0,0.708973,0.614244,6
779,3792,-99.728,0,0.670898,0.473781,6
779,3798,-100.154,0,0.68099,0.594741,6
779,3799,-100.042,0,0.6799,0.61508,6
779,3878,-102.342,0,0.669429,0.544689,6
779,3879,-102.878,0,0.654481,0.438181,6
779,3888,-103.295,0,0.659594,0.472267,6
779,3889,-103.746,0,0.668822,0.502759,6
779,3892,-104.094,0,0.712264,0.631833,6
779,3901,-104.653,0,0.671245,0.530153,6
779,3902,-105.29,0,0.665124,0.475905,6
779,3903,-105.578,0,0.664772,0.483994,6
779,3933,-106.486,0,0.655676,0.41212,6
